id,name,types,height,weight,color,habitat,shape,generation,evolution_chain
238,smoochum,"['ice', 'psychic']",4,60,pink,urban,humanoid,generation-ii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 30, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'jynx', 'url': 'https://pokeapi.co/api/v2/pokemon-species/124/'}}], 'is_baby': True, 'species': {'name': 'smoochum', 'url': 'https://pokeapi.co/api/v2/pokemon-species/238/'}}"
239,elekid,['electric'],6,235,yellow,grassland,humanoid,generation-ii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 30, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': {'name': 'electirizer', 'url': 'https://pokeapi.co/api/v2/item/299/'}, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': None, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'trade', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/2/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'electivire', 'url': 'https://pokeapi.co/api/v2/pokemon-species/466/'}}], 'is_baby': False, 'species': {'name': 'electabuzz', 'url': 'https://pokeapi.co/api/v2/pokemon-species/125/'}}], 'is_baby': True, 'species': {'name': 'elekid', 'url': 'https://pokeapi.co/api/v2/pokemon-species/239/'}}"
240,magby,['fire'],7,214,red,mountain,upright,generation-ii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 30, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': {'name': 'magmarizer', 'url': 'https://pokeapi.co/api/v2/item/300/'}, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': None, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'trade', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/2/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'magmortar', 'url': 'https://pokeapi.co/api/v2/pokemon-species/467/'}}], 'is_baby': False, 'species': {'name': 'magmar', 'url': 'https://pokeapi.co/api/v2/pokemon-species/126/'}}], 'is_baby': True, 'species': {'name': 'magby', 'url': 'https://pokeapi.co/api/v2/pokemon-species/240/'}}"
241,miltank,['normal'],12,755,pink,grassland,upright,generation-ii,"{'evolution_details': [], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'miltank', 'url': 'https://pokeapi.co/api/v2/pokemon-species/241/'}}"
242,blissey,['normal'],15,468,pink,urban,humanoid,generation-ii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': {'name': 'oval-stone', 'url': 'https://pokeapi.co/api/v2/item/110/'}, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': None, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': 'day', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': 160, 'min_level': None, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'blissey', 'url': 'https://pokeapi.co/api/v2/pokemon-species/242/'}}], 'is_baby': False, 'species': {'name': 'chansey', 'url': 'https://pokeapi.co/api/v2/pokemon-species/113/'}}], 'is_baby': True, 'species': {'name': 'happiny', 'url': 'https://pokeapi.co/api/v2/pokemon-species/440/'}}"
243,raikou,['electric'],19,1780,yellow,grassland,quadruped,generation-ii,"{'evolution_details': [], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'raikou', 'url': 'https://pokeapi.co/api/v2/pokemon-species/243/'}}"
244,entei,['fire'],21,1980,brown,grassland,quadruped,generation-ii,"{'evolution_details': [], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'entei', 'url': 'https://pokeapi.co/api/v2/pokemon-species/244/'}}"
245,suicune,['water'],20,1870,blue,grassland,quadruped,generation-ii,"{'evolution_details': [], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'suicune', 'url': 'https://pokeapi.co/api/v2/pokemon-species/245/'}}"
246,larvitar,"['rock', 'ground']",6,720,green,mountain,upright,generation-ii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 30, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 55, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'tyranitar', 'url': 'https://pokeapi.co/api/v2/pokemon-species/248/'}}], 'is_baby': False, 'species': {'name': 'pupitar', 'url': 'https://pokeapi.co/api/v2/pokemon-species/247/'}}], 'is_baby': False, 'species': {'name': 'larvitar', 'url': 'https://pokeapi.co/api/v2/pokemon-species/246/'}}"
247,pupitar,"['rock', 'ground']",12,1520,gray,mountain,squiggle,generation-ii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 30, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 55, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'tyranitar', 'url': 'https://pokeapi.co/api/v2/pokemon-species/248/'}}], 'is_baby': False, 'species': {'name': 'pupitar', 'url': 'https://pokeapi.co/api/v2/pokemon-species/247/'}}], 'is_baby': False, 'species': {'name': 'larvitar', 'url': 'https://pokeapi.co/api/v2/pokemon-species/246/'}}"
248,tyranitar,"['rock', 'dark']",20,2020,green,mountain,upright,generation-ii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 30, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 55, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'tyranitar', 'url': 'https://pokeapi.co/api/v2/pokemon-species/248/'}}], 'is_baby': False, 'species': {'name': 'pupitar', 'url': 'https://pokeapi.co/api/v2/pokemon-species/247/'}}], 'is_baby': False, 'species': {'name': 'larvitar', 'url': 'https://pokeapi.co/api/v2/pokemon-species/246/'}}"
249,lugia,"['psychic', 'flying']",52,2160,white,rare,wings,generation-ii,"{'evolution_details': [], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'lugia', 'url': 'https://pokeapi.co/api/v2/pokemon-species/249/'}}"
250,ho-oh,"['fire', 'flying']",38,1990,red,rare,wings,generation-ii,"{'evolution_details': [], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'ho-oh', 'url': 'https://pokeapi.co/api/v2/pokemon-species/250/'}}"
251,celebi,"['psychic', 'grass']",6,50,green,forest,humanoid,generation-ii,"{'evolution_details': [], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'celebi', 'url': 'https://pokeapi.co/api/v2/pokemon-species/251/'}}"
252,treecko,['grass'],5,50,green,forest,upright,generation-iii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'sceptile', 'url': 'https://pokeapi.co/api/v2/pokemon-species/254/'}}], 'is_baby': False, 'species': {'name': 'grovyle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/253/'}}], 'is_baby': False, 'species': {'name': 'treecko', 'url': 'https://pokeapi.co/api/v2/pokemon-species/252/'}}"
253,grovyle,['grass'],9,216,green,forest,upright,generation-iii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'sceptile', 'url': 'https://pokeapi.co/api/v2/pokemon-species/254/'}}], 'is_baby': False, 'species': {'name': 'grovyle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/253/'}}], 'is_baby': False, 'species': {'name': 'treecko', 'url': 'https://pokeapi.co/api/v2/pokemon-species/252/'}}"
254,sceptile,['grass'],17,522,green,forest,upright,generation-iii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'sceptile', 'url': 'https://pokeapi.co/api/v2/pokemon-species/254/'}}], 'is_baby': False, 'species': {'name': 'grovyle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/253/'}}], 'is_baby': False, 'species': {'name': 'treecko', 'url': 'https://pokeapi.co/api/v2/pokemon-species/252/'}}"
255,torchic,['fire'],4,25,red,grassland,legs,generation-iii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'blaziken', 'url': 'https://pokeapi.co/api/v2/pokemon-species/257/'}}], 'is_baby': False, 'species': {'name': 'combusken', 'url': 'https://pokeapi.co/api/v2/pokemon-species/256/'}}], 'is_baby': False, 'species': {'name': 'torchic', 'url': 'https://pokeapi.co/api/v2/pokemon-species/255/'}}"
256,combusken,"['fire', 'fighting']",9,195,red,grassland,upright,generation-iii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'blaziken', 'url': 'https://pokeapi.co/api/v2/pokemon-species/257/'}}], 'is_baby': False, 'species': {'name': 'combusken', 'url': 'https://pokeapi.co/api/v2/pokemon-species/256/'}}], 'is_baby': False, 'species': {'name': 'torchic', 'url': 'https://pokeapi.co/api/v2/pokemon-species/255/'}}"
257,blaziken,"['fire', 'fighting']",19,520,red,grassland,upright,generation-iii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'blaziken', 'url': 'https://pokeapi.co/api/v2/pokemon-species/257/'}}], 'is_baby': False, 'species': {'name': 'combusken', 'url': 'https://pokeapi.co/api/v2/pokemon-species/256/'}}], 'is_baby': False, 'species': {'name': 'torchic', 'url': 'https://pokeapi.co/api/v2/pokemon-species/255/'}}"
258,mudkip,['water'],4,76,blue,waters-edge,quadruped,generation-iii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'swampert', 'url': 'https://pokeapi.co/api/v2/pokemon-species/260/'}}], 'is_baby': False, 'species': {'name': 'marshtomp', 'url': 'https://pokeapi.co/api/v2/pokemon-species/259/'}}], 'is_baby': False, 'species': {'name': 'mudkip', 'url': 'https://pokeapi.co/api/v2/pokemon-species/258/'}}"
259,marshtomp,"['water', 'ground']",7,280,blue,waters-edge,upright,generation-iii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'swampert', 'url': 'https://pokeapi.co/api/v2/pokemon-species/260/'}}], 'is_baby': False, 'species': {'name': 'marshtomp', 'url': 'https://pokeapi.co/api/v2/pokemon-species/259/'}}], 'is_baby': False, 'species': {'name': 'mudkip', 'url': 'https://pokeapi.co/api/v2/pokemon-species/258/'}}"
260,swampert,"['water', 'ground']",15,819,blue,waters-edge,upright,generation-iii,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'swampert', 'url': 'https://pokeapi.co/api/v2/pokemon-species/260/'}}], 'is_baby': False, 'species': {'name': 'marshtomp', 'url': 'https://pokeapi.co/api/v2/pokemon-species/259/'}}], 'is_baby': False, 'species': {'name': 'mudkip', 'url': 'https://pokeapi.co/api/v2/pokemon-species/258/'}}"
